Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,106.5,-91.375,90.0,top
C2,0.1uF,C_0805_2012Metric,165.3,-29.8,90.0,top
C3,0.1uF,C_0805_2012Metric,117.9,-92.6,90.0,top
C4,22uF,C_0805_2012Metric,123.1,-106.75,-90.0,top
C5,10uF,C_0805_2012Metric,127.3,-107.4,0.0,top
C6,1uF,C_0805_2012Metric,133.2,-128.3,-90.0,top
C7,470uF,CP_Elec_10x10.5,140.8,-132.4,-90.0,top
C8,330uF,CP_Elec_10x10.5,106.7,-110.5,180.0,top
C9,0.1uF,C_0805_2012Metric,174.2,-133.7,0.0,top
C10,0.1uF,C_0805_2012Metric,174.1,-138.3,0.0,top
C11,0.1uF,C_0805_2012Metric,101.5,-49.4,90.0,top
C12,0.1uF,C_0805_2012Metric,72.1,-61.8,180.0,top
C13,0.1uF,C_0805_2012Metric,63.8,-70.3,-90.0,top
D1,S10MC,D_SMC_larger_pads,154.1,-135.6,0.0,top
D2,SS36,SMA(DO-214AC),118.1,-122.6,90.0,top
D3,LED,LED_0805_2012Metric,137.1,-122.48125,90.0,top
D4,BAV99,SOT-23,165.0,-54.2,180.0,top
D5,MDD M7,D_SMA,133.3,-78.1,90.0,top
D6,BAV99,SOT-23,160.1625,-50.65,180.0,top
D7,BAV99,SOT-23,160.1,-44.7,180.0,top
D8,MDD M7,D_SMA,131.9,-100.1,90.0,top
D9,MDD M7,D_SMA,153.0,-34.1,-90.0,top
D10,BAV99,SOT-23,160.4,-57.8,0.0,top
D11,MDD M7,D_SMA,172.9,-51.2,180.0,top
D12,MDD M7,D_SMA,180.1,-51.1,180.0,top
F1,C2935469,Fuse_Holder_C2935469,158.805,-114.105,180.0,top
IC1,AZ1117,SOT-223,123.2,-100.2,90.0,top
IC2,XL2596,TO263-5L,126.4,-131.2,-90.0,top
IC3,PCA9306DCUR,PCA9306DCUR,144.3,-59.1,0.0,top
J1,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,102.2,-92.3,180.0,top
J2,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,84.42,-92.3,180.0,top
J3,Teensy_Ethernet,PinHeader_2x03_P2.00mm_Vertical,116.5734,-80.585,90.0,top
J4,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,129.375,-93.555,180.0,top
J5,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,129.375,-75.775,180.0,top
J6,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,129.375,-52.915,180.0,top
J7,DT13-12PA,DT1312PA,163.5,-94.72,0.0,top
J8,HR911105A,HR911105A,172.25,-43.8495,-90.0,top
J9,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,114.135,-93.555,180.0,top
J10,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,114.135,-75.775,180.0,top
J11,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,114.135,-52.915,180.0,top
J12,Motor1,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,34.9,-108.2,180.0,top
